number_of_rooms,district,structure_type,year_of_construction,floor,area,quality,price
3.0,5,1,1986.0,5.0,78.0,3,66000000.0
2.0,1,3,1972.0,5.0,56.0,3,40000000.0
3.0,7,3,1992.0,4.0,86.0,2,35000000.0
2.0,6,2,2020.0,5.0,70.0,3,41000000.0
1.0,2,2,2019.0,4.0,47.0,3,34000000.0
1.0,5,2,2023.0,3.0,53.73,0,65000000.0
3.0,2,3,1976.0,5.0,66.0,3,37500000.0
2.0,5,2,2017.0,6.0,95.0,3,95000000.0
2.0,3,2,2023.0,3.0,61.02,0,45400000.0
2.0,0,2,2022.0,5.0,58.7,3,36500000.0
2.0,0,2,2019.0,9.0,65.0,3,24000000.0
3.0,5,2,2020.0,11.0,91.5,3,93000000.0
1.0,0,2,2017.0,4.0,40.0,3,20500000.0
3.0,6,2,2019.0,6.0,78.0,3,38000000.0
2.0,1,2,2022.0,4.0,54.0,3,45000000.0
2.0,3,2,2023.0,4.0,73.5,0,59500000.0
3.0,3,2,2014.0,8.0,86.0,3,74999999.0
3.0,0,2,2015.0,4.0,76.0,3,33000000.0
5.0,0,2,2013.0,9.0,218.0,3,135000000.0
2.0,6,2,2023.0,3.0,55.0,3,30000000.0
2.0,1,3,1990.0,5.0,52.0,3,29000000.0
2.0,7,1,1965.0,1.0,44.0,3,23000000.0
2.0,0,2,2023.0,4.0,55.0,4,25440000.0
2.0,3,2,2022.0,9.0,49.0,3,45500000.0
3.0,2,3,1981.0,5.0,64.3,3,36500000.0
3.0,6,1,2016.0,3.0,81.0,3,34000000.0
1.0,1,2,2023.0,11.0,44.0,4,31500000.0
2.0,6,2,2012.0,5.0,94.0,3,39000000.0
2.0,6,2,2020.0,1.0,71.0,3,40000000.0
2.0,0,2,2020.0,5.0,59.0,3,35000000.0
3.0,2,3,1969.0,2.0,63.0,3,31600000.0
2.0,5,3,1971.0,3.0,52.3,3,54000000.0
1.0,4,1,1987.0,5.0,35.0,3,21000000.0
2.0,5,0,2021.0,9.0,48.0,3,38500000.0
2.0,3,1,1963.0,4.0,38.0,3,27000000.0
1.0,2,1,1986.0,2.0,18.0,3,9600000.0
2.0,4,2,2022.0,5.0,44.0,3,34500000.0
3.0,3,2,2021.0,13.0,93.0,3,84900000.0
1.0,1,2,2024.0,10.0,47.08,4,33000000.0
1.0,2,3,1974.0,3.0,33.0,3,22300008.0
3.0,0,2,2021.0,8.0,72.0,3,41000000.0
2.0,3,2,2023.0,17.0,76.0,4,69600000.0
3.0,0,2,2011.0,1.0,94.0,1,42500000.0
1.0,0,2,2023.0,3.0,40.3,4,17440000.0
2.0,3,3,1962.0,4.0,44.3,3,28500000.0
2.0,6,2,2022.0,5.0,51.0,3,28500000.0
1.0,1,3,1980.0,1.0,15.0,1,13000000.0
1.0,0,2,2015.0,1.0,33.0,1,16500000.0
